id;image;barcode;name;description;stock;is_stock;inventary_min;price_in;price_out;unit
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA PETROLERA WORKMAN  T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/35;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/36;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/37;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/38;;2;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/39;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/40;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/41;;1;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/42;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/43;;1;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/44;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO AMARILLA TANKER  SEGUSA T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/35;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/36;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/37;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/38;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/39;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/40;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/41;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/42;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/43;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/44;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO BLANCO T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/35;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/36;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/37;;6;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/38;;1;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/39;;2;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/40;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/41;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/42;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/43;;3;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/44;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO MINERA  T/45;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO NEGRO PETROLERA WORKMAN  T/37;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO NEGRO PETROLERA WORKMAN  T/38;;0;;1;;;2
;;;BOTA DE JEBE PUNTA DE ACERO NEGRO PETROLERA WORKMAN  T/39;;0;;1;;;2
;;;BOTA DE JEBE ROSADO  T 35;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/35;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/36;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/37;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/38;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/39;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/40;;2;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/41;;1;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/42;;1;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/43;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/44;;0;;1;;;2
;;;BOTA DE JEBE S/ PUNTA DE ACERO BLANCO T/45;;0;;1;;;2
;;;BOTA DE JEBE SIMPLE CAÑA CORTA T/38;;1;;1;;;2
;;;BOTA DE MEDIA CAÑA AZUL DE DAMA TALLA 38;;0;;1;;;2
